Cap-xx ,CPX,	5.90	305,580	-0.84%	5.90	5.95	8
Circle Prop ,CRC,	208.00	0	0.00%	208.00	208.00	0
Corcel ,CRCL,	1.80	10,924,139	12.50%	1.56	1.80	122
Cordel Group ,CRDL,	13.00	53,961	0.00%	13.00	13.00	7
Creo Medical ,CREO,	136.50	32,256	-0.73%	136.50	137.50	10
Cropper ,J, ,CRPR,	1,400.00	2,986	3.70%	1,350.00	1,425.00	5
Crystal Amber ,CRS,	109.50	78,878	-6.81%	108.50	110.00	26
Coral Products ,CRU,	16.25	1,733,319	8.33%	15.00	16.75	17
Craven House Capital ,CRV,	0.25	0	0.00%	0.25	0.25	0
Craneware ,CRW,	2,380.00	127,361	-0.83%	2,380.00	2,380.00	42
Cornerstone Fs ,CSFS,	33.00	43,086	8.20%	30.50	33.00	10
Croma Security ,CSSG,	91.50	0	0.00%	91.50	91.50	0
Catenae In Plc ,CTEA,	0.60	215,047	4.35%	0.575	0.60	7
Christie ,CTG,	102.00	0	0.00%	102.00	102.00	0
Caretech Hldg ,CTH,	555.00	440,985	-1.94%	553.00	567.00	260
Cornish Metals. ,CUSN,	25.00	702,573	3.09%	25.00	25.00	96
Cvs Group ,CVSG,	2,000.00	491,866	-2.44%	1,990.00	2,055.00	836
Ceres Power ,CWR,	826.00	594,013	-2.25%	813.00	852.50	1,843
Cyanconnode ,CYAN,	20.50	627,944	-1.20%	19.50	20.50	35
D4t4 Solutions ,D4T4,	325.00	20,214	-2.26%	325.00	325.00	10
GlobalData ,DATA,	1,375.00	2,361,080	-2.83%	1,375.00	1,375.00	14
Digitalbox ,DBOX,	11.25	64,853	0.00%	11.25	11.25	3
Dolphin Capital ,DCI,	4.10	50,000	0.00%	4.04	4.04	1
Directa Plus ,DCTA,	154.50	21,105	1.98%	151.50	154.50	15
4d Pharma Plc ,DDDD,	43.50	2,412,825	-5.54%	42.95	45.95	595
Deltic Energy ,DELT,	2.35	4,192,228	6.82%	2.20	2.35	34
Deltex Medical ,DEMG,	1.25	568,361	0.00%	1.25	1.25	5
Destiny Pharma. ,DEST,	106.00	5,000	0.00%	106.00	106.00	1
Distil ,DIS,	1.80	421,579	-5.26%	1.80	1.90	4
Dekel Agri ,DKL,	5.15	207,090	0.00%	5.15	5.15	8
Deepmatter ,DMTR,	0.30	5,689,491	0.00%	0.30	0.30	19
Diurnal Grp ,DNL,	66.00	34,333	-0.75%	66.00	66.50	4
